country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"This well-aged wine has a slightly earthy, new-leather aroma. Tasty, spicy flavors meet up with rich black cherry and cocoa chords to resonate through the finish. It's medium to full bodied, well balanced, moderately tannic and ready for the dinner table. The winemaker kept it in barrels for an unusual 43 months.",Sanguinetti Vineyard,89,25.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Martin Lane Winery 2010 Sanguinetti Vineyard Syrah (Lodi),Syrah,Martin Lane Winery
Chile,"This starts with dense, murky, earthy aromas of stewed black fruits and rubber. In the mouth, it feels full and aggressive, with rubbery tannins supporting thick, herbal flavors of rooty black fruits. A chunky, chewy, layered finish is generous in every way.",First Edition,88,18.0,Cachapoal Valley,,,Michael Schachner,@wineschach,Valle Secreto 2010 First Edition Syrah (Cachapoal Valley),Syrah,Valle Secreto
Georgia,"True to its name, this wine is golden amber in color. Its apricot and almond blossom aromas lead to quince, underripe apple and bitter almond flavors. Grippy tannins come on strong from first sip and persist into the chalky finish.",Amber Dry Dakishvili Family Vineyards,83,25.0,Kakheti,,,Mike DeSimone,@worldwineguys,Vita Vinea 2015 Amber Dry Dakishvili Family Vineyards Kisi (Kakheti),Kisi,Vita Vinea
US,"An estate wine from an elevated elevation, this opens in fragrant red cherry and vanilla, with a subtle trace of brambly blackberry. Soft, it features a supple mouthfeel, medium weight and a backbone of structure, earthy and enticing. Easily enjoyable now, it should take on added complexity through 2022.",Hillside Reserve,93,125.0,California,Rutherford,Napa,Virginie Boone,@vboone,Flora Springs 2012 Hillside Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Flora Springs
Italy,"Bold and black with impenetrable thickness and inky tones of blackberry, smoked ham and peppercorn, this is a dense and opulent wine that shows the best of sunny Sicily with spicy overtones and a thick, full feel.",Sole dei Padri,91,55.0,Sicily & Sardinia,Sicilia,,,,Principi di Spadafora 2005 Sole dei Padri Syrah (Sicilia),Syrah,Principi di Spadafora
US,"This is a polished Chardonnay, fruity in Meyer lemon and lime yet mellow and honeyed on the palate, buoyed by tight acidity and just enough spice. There's a balance of depth and breadth to this wine, and a lengthy finish. Some fruit comes from 40-year-old vines planted to Heritage Selections of the Robert Young clone.",Estate Vineyard,90,27.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Gundlach Bundschu 2012 Estate Vineyard Chardonnay (Sonoma Coast),Chardonnay,Gundlach Bundschu
France,"This legendary Madiran is, its fruit tannins just softened by wood aging. It's smoky, brooding, very concentrated, and worth aging for 10 years.",Château Montus,94,35.0,Southwest France,Madiran,,Roger Voss,@vossroger,Alain Brumont 2007 Château Montus Tannat-Cabernet Franc (Madiran),Tannat-Cabernet Franc,Alain Brumont
Italy,"Made with organically farmed grapes, this rustic wine opens with funky aromas of game, wet animal fur, scorched earth, overripe berry and a whiff of barnyard. These carry over to the palate along with underbrush, licorice, and toasted almond notes but not much fruit. Tried twice with identical notes.",Valle Galfina Rosso,85,19.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Scilio 2012 Valle Galfina Rosso  (Etna),Nerello Mascalese,Scilio
US,"The producer does a nice job with this concoction of 45% Merlot and 31% Malbec, with smaller percentages of Cabernet Sauvignon and Petit Verdot making up the rest. Dark, extracted color leads the way to thick, leathery textures atop aspects of baked bread, coffee and cedar that accent the big tannin and flavor.",,90,20.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,St. Francis 2013 Claret (Sonoma County),Claret,St. Francis
Italy,"You'll find aromas suggesting underbrush, wild berry, tobacco and a whiff of aromatic herb on this. The palate isn't quite as expressive as the nose and is still tightly wound, offering red cherry, cranberry and white pepper alongside a backbone of tense tannins and bright acidity. Give it time to unfold. Drink 2025–2035.",Boiolo,92,80.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Camparo 2013 Boiolo  (Barolo),Nebbiolo,Camparo
US,"A big, boisterous and concentrated wine, this has an aroma like smoke and rosemary and more rich, fruity flavors like plum and pomegranate juice.",,85,16.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Ivory and Burt 2013 Red (Lodi),Red Blend,Ivory and Burt
France,"Structured and ripe, this wine achieves balance between sweetness and fruit. It shows ripe cherries and apricots that contrast with a fresh aftertaste.",Vin de Paille,87,56.0,France Other,Côtes du Jura,,Roger Voss,@vossroger,Frédéric Lornet 2006 Vin de Paille White (Côtes du Jura),White Blend,Frédéric Lornet
US,"Powerful aromas of lychee, mango and peach give a vibrant feel tropical to this wine. These aromas show the palate and are joined by peach candies and rosewater. With decent acidity, this still feels viscous on the palate and has a medium finish that ends with ginger spice.",,85,22.0,Virginia,Middleburg,,Carrie Dykes,,Blue Valley 2015 Muskat Ottonel (Middleburg),Muskat Ottonel,Blue Valley
France,"Sparkling Vouvray, full of rich fruit, with layers of almonds, toasted bread and intense acidity. It is a tangy wine, with an apple skin texture over a light creamy mousse.",Cuvée T Brut,89,25.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2008 Cuvée T Brut  (Vouvray),Chenin Blanc,Domaine Vincent Carême
Argentina,"A little scattered and jumbled at first, but once things settle this Bordeaux blend is impressive. Scents of clove, blackberry and grape candy are sincere, while the palate houses blueberry, cassis and other black-fruit flavors. The feel is tannic and a bit choppy, but the ribald finish of bacon, leather, vanilla and resin is convincing. Drink now through 2011.",Perdriel Single Vineyard,91,68.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Norton 2005 Perdriel Single Vineyard Red (Mendoza),Bordeaux-style Red Blend,Bodega Norton
Italy,"Perfect for wood fired flatbread or bruschetta with thick slices of prosciutto, this bright Italian red is redolent of cherry, blackberry and a touch of bitter almond on the close.",Jorio,86,17.0,Central Italy,Montepulciano d'Abruzzo,,,,Umani Ronchi 2010 Jorio  (Montepulciano d'Abruzzo),Montepulciano,Umani Ronchi
Greece,"Sea salt and fresh white flowers lead the nose of this light, aromatic white. On the palate, the wine is focused and fresh, with a swash of sea salt and clean, brisk fruit on the finish. Pair with grilled seafood and salads.",Ex'arnon Sauvignon Blanc-Assyrtiko,90,16.0,Chalkidiki,,,Susan Kostrzewa,@suskostrzewa,Claudia Papayianni 2013 Ex'arnon Sauvignon Blanc-Assyrtiko White (Chalkidiki),White Blend,Claudia Papayianni
Italy,"Roscetto, a little-known white grape from central Italy, delivers impressive structure, depth and intensity. As the wine sees four months of oak, this drinks like a red wine. Bright gold in color, this has generous aromas of peach, pineapple, almond, vanilla and spice.",Ferentano,88,,Central Italy,Lazio,,,,Falesco 2008 Ferentano Roscetto (Lazio),Roscetto,Falesco
Chile,"Earthy spicy black-fruit aromas come with toasty, almost caramelized oak scents. This is drawing on the palate, so much so that it feels collapsed. Wood-dominant flavors of herbal black plum, coffee and carob finish candied and dry, with grabby tannins.",Reserva,86,13.0,Rapel Valley,,,Michael Schachner,@wineschach,Casas del Bosque 2014 Reserva Carmenère (Rapel Valley),Carmenère,Casas del Bosque
Italy,"Funky aromas that recall game and farmyard carry over to the palate along with sweet vanilla and toast. Warm and forward, it ends on an overripe, overly sweet note.",,84,28.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,La Togata 2012  Rosso di Montalcino,Sangiovese,La Togata
Spain,"Earthy black-fruit aromas are a bit tough and gritty. This feels rugged, full in body and tannic. Ripe, earthy blackberry and cassis flavors are spicy, with a strong back note of espresso. A full, toasty finish tastes mostly of straight black coffee. Drink through 2021.",Selección Especial,91,30.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Abadia Retuerta 2010 Selección Especial Red (Vino de la Tierra de Castilla y León),Red Blend,Abadia Retuerta
US,"A tremendous wine that shows how Merryvale is absolutely at the top of its game. Impeccable in structure, with refined tannins that are soft and firm at the same time, and a fine cut of acidity. Entirely dry, the Cabernet Sauvignon-based blend is awesome in blackberry, cherry, cassis and oak flavors, with complexities of anise, soy sauce, grilled meats and minerals. Beyond the particulars, it just feels dramatic and rich in the mouth. A great wine that should develop in the bottle over the next decade.",Profile,97,165.0,California,Napa Valley,Napa,,,Merryvale 2008 Profile Red (Napa Valley),Bordeaux-style Red Blend,Merryvale
France,"Named after Léonie Duchêne, one of the founders of the house in 1868, this pale-colored rosé is well balanced with a touch of almonds as well as red-berry fruit flavors. There is an attractive crispness to it and a mineral edge that gives the wine structure. Drink now.",Cuvée Léonie Brut Rosé,88,40.0,Champagne,Champagne,,Roger Voss,@vossroger,Canard-Duchêne NV Cuvée Léonie Brut Rosé  (Champagne),Champagne Blend,Canard-Duchêne
France,Billards is the name of a small area of Saint-Amour. The cru wine from this vineyard is richly structured and packed with juicy black fruits. There is a mineral texture from the granite subsoil that gives the wine its structure. Drink from late 2017.,Domaine des Billards,89,17.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Jean Loron 2015 Domaine des Billards  (Saint-Amour),Gamay,Jean Loron
Portugal,"A blend of Encruzado and Gouveio, this soft, young and fruity wine will be fine and ripe by 2016. The palate integrates a mineral texture and fresh citrus flavors that are tight and need to round out. It's a finely structured wine that finishes with a fresh, crisp aftertaste. Drink from the end of 2016.",Quinta do Mondego,91,20.0,Dão,,,Roger Voss,@vossroger,Fontes da Cunha 2014 Quinta do Mondego White (Dão),Portuguese White,Fontes da Cunha
France,"This shows good crispness, with an apple flavor and zesty acidity. The fruitiness is balanced by a mineral edge and a touch of caramel.",,87,24.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2010  Chablis,Chardonnay,Domaine Jean-Paul et Benoît Droin
Italy,"Intense aromas that recall tomato vine, hay, stone fruit and dill lead the nose. The vibrant palate shows honeydew melon, grapefruit and mineral alongside zesty acidity that leaves a tangy finish.",,89,18.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Zorzon 2014 Sauvignon (Collio),Sauvignon,Zorzon
France,"Firm and structured, this still shows much of the ripe red fruit of the vintage. It has a round, warm feel, along with weight and density. Fresh berry flavors cut through the powerful texture. Drink from 2023.",,94,,Burgundy,Grands-Echezeaux,,Roger Voss,@vossroger,Henri de Villamont 2014  Grands-Echezeaux,Pinot Noir,Henri de Villamont
US,"Septette is supple and sexy, using all seven Pinot Noir clones grown in the estate vineyard. The fruit flavors run toward blueberry and blackberry, with supporting acidity and drying tannins. Aging in 40% new French oak adds suggestions of mocha and dark chocolate to the finish.",Septette,92,36.0,Oregon,Southern Oregon,Southern Oregon,Paul Gregutt,@paulgwine ,DanCin 2012 Septette Pinot Noir (Southern Oregon),Pinot Noir,DanCin
US,"Honey-kissed lemons and tangerines perfume this dry, full-bodied wine. Ripe apricot and grapefruit flavors extend over the palate with a rich, slightly clingy feel, but balance neatly against a strike of tart citrus acidity on the finish.",Reserve,88,20.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Osprey's Dominion 2014 Reserve Pinot Gris (North Fork of Long Island),Pinot Gris,Osprey's Dominion
US,"Careful winemaking balances the fruit and oak perfectly in this lovely, medium-weight wine. It's polished and steely, with just-ripe apple and pear fruit, braced with racy, lemony acidity and a streak of minerality. It was fermented in 100% French oak, one sixth new.",Dijon 76 Estate,91,30.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Carabella 2013 Dijon 76 Estate Chardonnay (Chehalem Mountains),Chardonnay,Carabella
US,White flower and freshly cut pear aromas are followed by just off-dry peach and pear flavors balanced by juicy acidity. It shows a lovely sense of balance.,,88,13.0,Oregon,Oregon,Oregon Other,Sean P. Sullivan,@wawinereport,Primarius 2015 Pinot Gris (Oregon),Pinot Gris,Primarius
US,"Rich and buttery, this has smoky oak and toast flavors that frame the pineapple and orange jam notes. Not overly complicated, this is made in a way that appeals to Chardonnay lovers. Production was a hefty 16,500 cases.",,86,25.0,California,Napa Valley,Napa,,,William Hill Estate 2010 Chardonnay (Napa Valley),Chardonnay,William Hill Estate
Argentina,"This is a straightforward, regular Cab with berry/cherry aromas and flavors. Nothing is out of the ordinary; the palate is bright and focused on simple berry flavors, while the finish has proper feel, lift and power. Shows a good mixture of fruit, acid and tannin.",,86,-10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Vila 2008 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Vila
France,"Dry Riesling from vineyards in Turckheim. It has a great steely core, and layers of perfume and intense acidity. It is crisp, concentrated while remaining poised and elegant.",Terroir d'Alsace,88,,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Zind-Humbrecht 2009 Terroir d'Alsace Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
US,"A blend of various varieties, this red has a rustic feeling in the gritty tannins and briary flavors of wild berries and Asian spices. But it's not a simple wine. It's actually quite satisying in the way it floods the mouth with flavor, then finishes in a dry way that welcomes grilled meats, hard cheeses, olive oil and tomato sauce.",Mendovino Red Table Wine,88,20.0,California,Mendocino Ridge,,,,Greenwood Ridge 2006 Mendovino Red Table Wine Red (Mendocino Ridge),Red Blend,Greenwood Ridge
US,"Full-bodied and forward, this offers fruit flavors of spiced cherry, along with a broad streak of vanilla. The tannins hit hard and carry a slightly charred, slightly bitter aftertaste.",Vintner's Reserve,87,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Sweet Cheeks 2014 Vintner's Reserve Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
US,"This dry Moscato Giallo from Lodi is delicious, with an intensely perfumed nose that follows through in the taste, alongside Meyer lemon, jasmine and cantaloupe. Very unusual, incredibly well priced and modest in alcohol, this lush, ginger-tinged Moscato is this taster's desert-island white.",Secco,94,-16.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Uvaggio 2010 Secco Moscato Giallo (Lodi),Moscato Giallo,Uvaggio
Chile,"This amounts to a flabby, basic SB from a hot vintage. The nose is dull and lacks spunk. The palate is soft and fleshy, with bitter-leaning, bland flavors of melon, mild citrus and white pepper.",3 Generaciones,83,12.0,Central Valley,,,Michael Schachner,@wineschach,Soleca 2012 3 Generaciones Sauvignon Blanc (Central Valley),Sauvignon Blanc,Soleca
US,"Plush, lip-staining blueberries and blackberries permeate through this rich, inky-black Petit Verdot. It's intensely fruity, but dense layers of tar, char, cedar and spice add striking counterpoints. Fine-grained tannins are still taut and unyielding but should meld nicely from 2020 through 2026.",Reserve,92,50.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Raphael 2013 Reserve Petit Verdot (North Fork of Long Island),Petit Verdot,Raphael
US,"This 100% Grenache pink wine kicks off with a fairly light nose that shyly presents steely aromas of lemon wedge. There is a firm structure to the sip, where pink grapefruit and other citrus elements ride a chalky structure. Texture is key here.",,88,20.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Archium 2015 Rosé (Santa Barbara County),Rosé,Archium
US,"This full-bodied, quite ripe red has a classical edge in its grip of pencil led, black currant and dense blackberry fruit. Despite its heft and youthful tannins, it shows promise of aging in its backbone of structure and subtle grace. Enjoy best 2023 through 2028.",Platinum Collection,92,75.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Michel-Schlumberger 2013 Platinum Collection Cabernet Sauvignon (Dry Creek Valley),Cabernet Sauvignon,Michel-Schlumberger
Uruguay,"Clumsy and a bit chemical smelling, with a sticky, thick, candied palate housing bug juice berry flavors in front of a medicinal finish. Bulky, sweet and grabby red wine.",,80,10.0,Juanico,,,Michael Schachner,@wineschach,Pueblo del Sol 2009 Tannat (Juanico),Tannat,Pueblo del Sol
US,"This potent Syrah is marked with strong scents of organic compost, umami, and roasted meat; it's packed with plenty of purple and black fruits. Though it tails off slightly in the finish, it seems destined for a good 6–8 year ride in the cellar, improving all the way.",Boushey-McPherson Vineyard,92,40.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Bunnell 2008 Boushey-McPherson Vineyard Syrah (Yakima Valley),Syrah,Bunnell
US,"So dry and zesty in acidity, it really gets the tastebuds watering. The flavors start slow, then crank up toward the finish, suggesting ripe white peaches, summer white flowers and savory spices. Delicate and elegant, this is what Pinot Gris ought to be.",,92,24.0,California,Edna Valley,Central Coast,,,Chamisal Vineyards 2011 Pinot Gris (Edna Valley),Pinot Gris,Chamisal Vineyards
US,"Here's a sound, drily tannic Zinfandel to drink with roasted meats and hearty stews. It's dry and spicy, with blackberry, currant, herb and coffee flavors that finish with a hint of raisins. Ready now.",Old Vine,85,15.0,California,California,California Other,,,Zin 91 2006 Old Vine Zinfandel (California),Zinfandel,Zin 91
France,"This wine is a vineyard selection, aged in wood for 12 months. A structured blend of Fer Servadou and Cabernet Sauvignon, it has black fruits, firm tannins and acidity, all in balance. The wood aging is only a hint of smoothness with the rich fruit. Drink from 2018.",Cuvée de Flars,89,20.0,Southwest France,Marcillac,,Roger Voss,@vossroger,Domaine Laurens 2013 Cuvée de Flars  (Marcillac),Red Blend,Domaine Laurens
US,"Big in berry and currant fruit, high in alcohol, hard in astringent tannins. Brazen indeed. But you know what? This Zin pulls off its balancing act. It's a spicy, briary, lusty wine that will pair well with slow-cooked, braised meat dishes, like lamb shanks.",Sommer Vineyard,88,25.0,California,Dry Creek Valley,Sonoma,,,Brazin 2007 Sommer Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Brazin
US,"Here's a lovely Grenache to drink now. It's dry and silky, with the light weight of Pinot Noir, and ripely succulent in cherries. Bright acidity adds the final note. The very high alcohol is hardly noticeable, but it will affect you physically.",Jespersen Ranch,88,42.0,California,Edna Valley,Central Coast,,,Peloton 2011 Jespersen Ranch Grenache (Edna Valley),Grenache,Peloton
France,"This shows the proper attention to structure that is the inheritance of any Nuits-Saint-Georges. But around that structure, Gilles Jayer builds a velvet curtain of ripe black fruits, touched with spice and leavened with acidity. It's a wine that is delicious now, but certainly should be aged.",Les Hauts Poirets,92,149.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Domaine Jayer-Gilles 2006 Les Hauts Poirets  (Nuits-St.-Georges),Pinot Noir,Domaine Jayer-Gilles
US,"Thick and chocolaty, this wine is medium in weight, oak and texture, and struggles to show its fruit.",Pestoni Family Estate,84,55.0,California,Rutherford,Napa,Virginie Boone,@vboone,Rutherford Grove 2011 Pestoni Family Estate Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Rutherford Grove
US,"Experimenter-in-chief Kenneth Volk tackles this Mediterranean grape of ancient origins. Stone fruit dominates the nose, suggesting peach pie, peach jam, even peach pudding, with some sweet Stargazer lily floral notes as well. The peach transforms to melon, apple and caramel on the palate.",San Bernabe Vineyard,87,-24.0,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Kenneth Volk 2012 San Bernabe Vineyard Malvasia Bianca (Monterey County),Malvasia Bianca,Kenneth Volk
France,"Owned by the same family since 1850, this estate has produced a ripe Merlot-dominated wine. It is densely structured and full of black-currant fruits. The crisp fruitiness of the year shows strongly. Drink from 2018.",,88,20.0,Bordeaux,Lussac Saint-Émilion,,Roger Voss,@vossroger,Château de Tabuteau 2014  Lussac Saint-Émilion,Bordeaux-style Red Blend,Château de Tabuteau
Spain,"Aromas of sweet black cherry and dark plum form a good bouquet. The palate has smack and acidic bite, but the flavors are forward and clean, with a focus on plum and black cherry. Finishes full and long, with licorice as well as leftover acidity.",,86,15.0,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Granate 2008 Garnacha (Campo de Borja),Garnacha,Granate
Italy,"Chiara Lungarotti says that this vintage of her vineyard-designate Riserva represents a milestone for her family run estate. Indeed, this is a rich and elegant red wine that shows signature notes of wild berry and spice that reflect her beloved territory: Umbria.",Rubesco Riserva Vigna Monticchio,92,57.0,Central Italy,Torgiano,,,,Lungarotti 2005 Rubesco Riserva Vigna Monticchio Red (Torgiano),Red Blend,Lungarotti
Italy,"Made entirely with Nero d'Avola, this offers aromas of black-skinned fruit, tilled earth and cake spice. The concentrated but also focused palate shows ripe black cherry and crushed raspberry while nutmeg and carob add depth. Lithe tannins and lively acidity provide the framework.",Siccagno,90,,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Occhipinti 2013 Siccagno Nero d'Avola (Terre Siciliane),Nero d'Avola,Occhipinti
France,"This sparkling wine shows the potential richness that can come from the combination of Chenin Blanc and bubbles. It's a nutty, spicy and ripe wine. At the same time, its acidity and tense structure give a cool crisp feel. This balance and tension are just right and the wine is ready to drink.",Brut,90,23.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2014 Brut  (Vouvray),Chenin Blanc,Domaine Pichot
Portugal,"This special edition has been made to celebrate the 100th anniversary of the familiar Graham's Six Grapes reserve Ruby. Selected from old vines in the Graham's vineyards, it is dense and impressively ripe. Concentrated fruit dominates, cut with acidity as well as a dark texture. Rounded and rich, it's made to drink now. The label with symbols of six grapes was taken from original ledger entries—the Graham code for the highest of six possible classifications for wine destined to be vintage Port.",Six Grapes Special Old Vine Edition,91,42.0,Port,,,Roger Voss,@vossroger,W. & J. Graham's NV Six Grapes Special Old Vine Edition  (Port),Port,W. & J. Graham's
Spain,"This is so toasty and heavily oaked that it smells burnt and acrid. In the mouth this is pinched, tannic and tough. Flavors of plum, raspberry and vanilla finish scratchy and abrasive with drum-like tightness. Drink now.",Reserva,86,33.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Ostatu 2008 Reserva  (Rioja),Tempranillo,Ostatu
Spain,"Light, fresh aromas of tomato and plum are gritty. This feels round for the most part, with rubbery tannins. Medicinal, slightly minty plum and berry flavors end with acceptable rawness and a latex note.",,85,10.0,Central Spain,La Mancha,,Michael Schachner,@wineschach,Finca del Castillo 2014 Tempranillo (La Mancha),Tempranillo,Finca del Castillo
US,"Light red in color and smelling like raspberries, this wine adds earthy, spicy flavors while rounding out with red cherry notes and firm tannins that tend to bolster an otherwise relaxed texture. It has good balance and will be versatile with food.",Estate,86,29.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Rivino 2012 Estate Sangiovese (Mendocino),Sangiovese,Rivino
US,"Substantive in oak and weight, this concentrated, estate-grown wine is impressive in velvety texture and a savory conjuring of tobacco and black tea. Dark, brambly blackberry and dark cherry join in on the fun, providing vibrancy amid all the sophistication. Finishing with a dash of cardamom, this wine will cellar nicely through 2020.",West Slope,93,90.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Donum 2012 West Slope Pinot Noir (Carneros),Pinot Noir,Donum
Italy,"This opens with simple fruit tones of cherry and cassis backed by evolved aromas of spice, leather and cola. It shows impressive purity and a long, silky finish.",Vigna Basarin,90,52.0,Piedmont,Barbaresco,,,,Giacosa Fratelli 2009 Vigna Basarin  (Barbaresco),Nebbiolo,Giacosa Fratelli
US,"A widely available offering from Concannon, this Cab is rich in jammy cherry and vanilla, with a backbone of oak, a nice choice for midweek dinners of rib roast and steak.",Selected Vineyards,84,10.0,California,California,California Other,Virginie Boone,@vboone,Concannon 2010 Selected Vineyards Cabernet Sauvignon (California),Cabernet Sauvignon,Concannon
Italy,"Here’s a vigorous bubbly that impresses for the strength of its acidity and its fine cleanliness. The aroma is shy, even austere, just faintly suggesting diluted lime in water, and the flavors, also austere, are of lime. The wine asserts itself through power. It finishes rough and scoury, yet there’s something easy to like about it.",Brut,86,11.0,Northeastern Italy,Trento,,,,Rotari NV Brut  (Trento),Champagne Blend,Rotari
